,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Year,Local Authority County,Code,Public_FT_employees,Public_PT_employees,Public_Tot_employees,Public_Tot_employment,Private_FT_employees,Private_PT_employees,Private_Tot_employees,Private_Tot_employment,Total_FT_Employees,Total_PT_Employees,Total_Tot_employees,Total_Employment,,,,,,,,,
2016,Great Britain,K03000001,3142470,1932928,5075399,5085635,16695059,7443663,24138720,25164516,19837529,9376592,29214119,30250152,,,,,,,,,
2017,City of London,E09000001,14953,2628,17581,17652,407119,70899,478018,495180,422072,73527,495599,512832,,,,,,,,,
2017,Barking and Dagenham,E09000002,5975,3742,9717,9723,31597,13678,45275,46333,37572,17420,54993,56056,,,,,,,,,
2017,Barnet,E09000003,13500,7824,21324,21353,72135,38876,111011,114763,85635,46700,132335,136116,,,,,,,,,
2017,Bexley,E09000004,6745,4283,11027,11053,40867,23231,64097,66002,47611,27513,75124,77055,,,,,,,,,
2017,Brent,E09000005,19075,5480,24556,24592,72074,28941,101015,103640,91149,34421,125571,128232,,,,,,,,,
2017,Bromley,E09000006,9046,6424,15470,15518,59957,34284,94241,97059,69003,40708,109711,112577,,,,,,,,,
2017,Camden,E09000007,35214,12980,48194,48272,233397,79449,312846,324756,268611,92429,361040,373028,,,,,,,,,
2017,Croydon,E09000008,17234,8127,25361,25405,65674,32988,98662,101831,82908,41115,124022,127236,,,,,,,,,
2017,Ealing,E09000009,11946,5402,17348,17368,83007,34149,117156,120386,94953,39551,134504,137755,,,,,,,,,
2017,Enfield,E09000010,12654,7968,20622,20633,56104,29092,85196,87406,68758,37060,105818,108039,,,,,,,,,
2017,Greenwich,E09000011,12914,8700,21614,21620,39079,24281,63360,65512,51993,32981,84973,87132,,,,,,,,,
2017,Hackney,E09000012,13599,5452,19052,19076,73492,27163,100655,104267,87091,32615,119706,123343,,,,,,,,,
2017,Hammersmith and Fulham,E09000013,17142,3527,20669,20741,80464,34103,114566,116838,97606,37630,135235,137579,,,,,,,,,
2017,Haringey,E09000014,8786,3238,12024,12045,37215,20626,57841,60534,46001,23864,69866,72579,,,,,,,,,
2017,Harrow,E09000015,6105,4818,10922,10931,42138,21166,63303,65565,48242,25983,74225,76496,,,,,,,,,
2017,Havering,E09000016,10336,6080,16415,16423,43820,23864,67684,69664,54156,29944,84100,86087,,,,,,,,,
2017,Hillingdon,E09000017,14910,9884,24795,24889,123953,40611,164564,167501,138863,50496,189359,192389,,,,,,,,,
2017,Hounslow,E09000018,12002,4061,16063,16412,105039,40976,146015,147931,117042,45036,162078,164343,,,,,,,,,
2017,Islington,E09000019,14583,4019,18602,18611,160657,41400,202058,207627,175241,45419,220660,226239,,,,,,,,,
2017,Kensington and Chelsea,E09000020,14861,4933,19794,19800,84524,31192,115716,119366,99385,36125,135510,139166,,,,,,,,,
2017,Kingston upon Thames,E09000021,7068,4478,11546,11560,45923,28260,74183,75497,52991,32738,85729,87057,,,,,,,,,
2017,Lambeth,E09000022,26993,9036,36029,36359,77009,34990,111999,115614,104003,44025,148028,151973,,,,,,,,,
2017,Lewisham,E09000023,9742,6024,15765,16182,31585,19945,51530,53224,41327,25969,67296,69406,,,,,,,,,
2017,Merton,E09000024,6015,2851,8866,8873,50464,23511,73976,75684,56480,26363,82842,84557,,,,,,,,,
2017,Newham,E09000025,15917,6776,22693,22734,54446,29946,84392,86382,70363,36722,107085,109116,,,,,,,,,
2017,Redbridge,E09000026,11932,5638,17570,17582,40376,22190,62566,64706,52308,27829,80136,82288,,,,,,,,,
2017,Richmond upon Thames,E09000027,6339,3150,9489,9502,48841,22942,71783,74124,55180,26092,81272,83626,,,,,,,,,
2017,Southwark,E09000028,34914,7765,42679,42773,150375,41482,191858,197179,185290,49247,234537,239952,,,,,,,,,
2017,Sutton,E09000029,8773,5863,14636,14675,36084,20750,56834,58495,44857,26613,71471,73170,,,,,,,,,
2017,Tower Hamlets,E09000030,30403,15342,45746,45786,196378,48388,244766,249350,226782,63731,290512,295136,,,,,,,,,
2017,Waltham Forest,E09000031,10775,4907,15682,15709,38338,18077,56415,58533,49113,22984,72097,74242,,,,,,,,,
2017,Wandsworth,E09000032,17223,8016,25239,25282,62976,31282,94258,97175,80199,39298,119497,122458,,,,,,,,,
2017,Westminster,E09000033,87796,11846,99642,99898,458105,141434,599539,620737,545901,153281,699181,720635,,,,,,,,,
2017,Inner London,E13000001,342127,101581,443709,445211,2107743,652299,2760042,2848230,2449870,753880,3203751,3293441,,,,,,,,,
2017,Outer London,E13000002,203345,109680,313024,313821,1095468,521868,1617336,1660630,1298813,631547,1930360,1974451,,,,,,,,,
2017,North East,E12000001,140240,85422,225662,225985,559804,278593,838397,870120,700044,364015,1064059,1096104,,,,,,,,,
2017,North West,E12000002,377623,231607,609230,610233,1841019,840654,2681672,2774064,2218642,1072261,3290902,3384297,,,,,,,,,
2017,Yorkshire and The Humber,E12000003,271779,168719,440498,441264,1323059,613183,1936241,2021891,1594838,781902,2376739,2463155,,,,,,,,,
2017,East Midlands,E12000004,192976,134685,327662,328120,1227833,532265,1760098,1827562,1420809,666950,2087760,2155682,,,,,,,,,
2017,West Midlands,E12000005,265691,169278,434969,436783,1478165,665386,2143551,2227697,1743856,834664,2578520,2664480,,,,,,,,,
2017,East,E12000006,229508,192885,422392,423096,1573021,761640,2334662,2426730,1802529,954525,2757054,2849826,,,,,,,,,
2017,London,E12000007,545472,211261,756733,759033,3203211,1174167,4377378,4508860,3748683,1385428,5134111,5267893,,,,,,,,,
2017,South East,E12000008,356041,239439,595480,597223,2362704,1144813,3507516,3642358,2718745,1384252,4102996,4239582,,,,,,,,,
2017,South West,E12000009,233275,170225,403500,404146,1330922,693927,2024848,2156595,1564197,864152,2428348,2560741,,,,,,,,,
2017,Wales,W92000004,184080,112019,296099,296416,620838,324299,945137,1025647,804918,436318,1241236,1322063,,,,,,,,,
2017,Scotland,S92000003,359929,223764,583693,583942,1277637,626836,1904472,2005423,1637566,850600,2488165,2589365,,,,,,,,,
2017,England,E92000001,2612605,1603521,4216127,4225883,14899738,6704627,21604363,22455877,17512344,8308149,25820490,26681761,,,,,,,,,
2017,Great Britain,K03000001,3156614,1939304,5095918,5106241,16798213,7655762,24453972,25486948,19954827,9595066,29549891,30593189,,,,,,,,,
2018,City of London,E09000001,14558,2527,17085,17124,423716,65988,489704,505267,438274,68515,506789,522391,,,,,,,,,
2018,Barking and Dagenham,E09000002,5538,3055,8594,8595,31252,14063,45316,46229,36791,17118,53909,54824,,,,,,,,,
2018,Barnet,E09000003,13672,6309,19981,20172,72463,38149,110613,114333,86136,44458,130594,134505,,,,,,,,,
2018,Bexley,E09000004,6868,4169,11037,11083,40606,22774,63380,64868,47474,26944,74418,75952,,,,,,,,,
2018,Brent,E09000005,18760,5430,24190,24213,69974,29444,99418,102094,88733,34875,123608,126308,,,,,,,,,
2018,Bromley,E09000006,8993,5911,14904,14962,58654,33354,92008,94698,67647,39265,106912,109660,,,,,,,,,
2018,Camden,E09000007,34428,11548,45976,45992,244550,72786,317336,328798,278979,84334,363313,374790,,,,,,,,,
2018,Croydon,E09000008,18202,7783,25985,26035,63988,32164,96152,98776,82190,39947,122137,124811,,,,,,,,,
2018,Ealing,E09000009,10940,5514,16454,16473,79372,31344,110716,112994,90312,36858,127170,129467,,,,,,,,,
2018,Enfield,E09000010,11876,8179,20055,20086,54407,29030,83437,85617,66283,37209,103493,105703,,,,,,,,,
2018,Greenwich,E09000011,13016,8659,21675,21683,39574,23163,62736,64722,52590,31821,84411,86405,,,,,,,,,
2018,Hackney,E09000012,13813,4222,18035,18061,78293,29473,107766,110887,92106,33695,125801,128948,,,,,,,,,
2018,Hammersmith and Fulham,E09000013,18127,3177,21304,21380,80568,35539,116107,117964,98695,38716,137411,139345,,,,,,,,,
2018,Haringey,E09000014,8153,2757,10911,10922,35919,19375,55294,57212,44073,22132,66205,68135,,,,,,,,,
2018,Harrow,E09000015,6336,4205,10541,10548,38911,21072,59984,61918,45248,25277,70525,72466,,,,,,,,,
2018,Havering,E09000016,9959,5170,15128,15146,48088,24371,72459,74234,58047,29540,87587,89379,,,,,,,,,
2018,Hillingdon,E09000017,13996,10122,24117,24185,119938,40392,160329,162644,133933,50513,184447,186829,,,,,,,,,
2018,Hounslow,E09000018,12308,4309,16617,16631,102050,38785,140836,142653,114358,43095,157453,159284,,,,,,,,,
2018,Islington,E09000019,15358,4091,19449,19474,167158,44411,211569,216799,182517,48501,231018,236273,,,,,,,,,
2018,Kensington and Chelsea,E09000020,15473,4604,20077,20484,84325,33524,117849,121190,99798,38128,137926,141674,,,,,,,,,
2018,Kingston upon Thames,E09000021,7011,3885,10896,10908,43346,26658,70004,71304,50358,30543,80900,82212,,,,,,,,,
2018,Lambeth,E09000022,29205,8046,37251,37293,80922,37660,118582,120700,110127,45706,155833,157993,,,,,,,,,
2018,Lewisham,E09000023,9805,5828,15633,15637,30759,19589,50348,51792,40564,25417,65981,67429,,,,,,,,,
2018,Merton,E09000024,5617,2608,8225,8237,49076,24776,73852,75213,54693,27383,82077,83450,,,,,,,,,
2018,Newham,E09000025,18221,4494,22715,22855,57812,30896,88708,90446,76033,35390,111423,113302,,,,,,,,,
2018,Redbridge,E09000026,11740,4906,16646,16652,39337,22073,61411,63182,51077,26979,78056,79833,,,,,,,,,
2018,Richmond upon Thames,E09000027,6372,3107,9479,9509,46982,22813,69795,71649,53354,25920,79275,81159,,,,,,,,,
2018,Southwark,E09000028,34312,6876,41188,41282,155797,43265,199062,204408,190109,50141,240251,245689,,,,,,,,,
2018,Sutton,E09000029,8462,5357,13819,13831,35460,20058,55517,56961,43921,25415,69336,70792,,,,,,,,,
2018,Tower Hamlets,E09000030,34359,17219,51578,51865,197631,49260,246891,250774,231990,66479,298469,302638,,,,,,,,,
2018,Waltham Forest,E09000031,12301,4254,16555,16584,37358,18205,55564,57241,49660,22459,72119,73825,,,,,,,,,
2018,Wandsworth,E09000032,17974,7799,25772,25805,62214,30693,92907,95306,80188,38491,118679,121111,,,,,,,,,
2018,Westminster,E09000033,86271,12436,98707,98861,472792,143475,616268,635393,559063,155911,714975,734254,,,,,,,,,
2018,Inner London,E13000001,350059,95624,445682,447035,2172457,655934,2828393,2906937,2522515,751557,3274075,3353972,,,,,,,,,
2018,Outer London,E13000002,201967,102932,304899,305533,1070837,512689,1583529,1621330,1272804,615620,1888428,1926864,,,,,,,,,
2018,North East,E12000001,142046,83961,226008,226041,562239,266449,828687,857461,704285,350410,1054695,1083502,,,,,,,,,
2018,North West,E12000002,384819,222207,607027,607619,1876454,845429,2721883,2823789,2261274,1067636,3328910,3431408,,,,,,,,,
2018,Yorkshire and The Humber,E12000003,276325,167985,444310,445087,1327673,625828,1953500,2044618,1603998,793813,2397810,2489706,,,,,,,,,
2018,East Midlands,E12000004,200080,133300,333380,334324,1203554,534129,1737683,1817166,1403635,667429,2071063,2151490,,,,,,,,,
2018,West Midlands,E12000005,266425,163945,430370,431126,1487674,642695,2130369,2210911,1754100,806640,2560739,2642037,,,,,,,,,
2018,East,E12000006,237847,198392,436239,436883,1565452,778851,2344303,2443333,1803299,977243,2780542,2880216,,,,,,,,,
2018,London,E12000007,552026,198555,750581,752569,3243294,1168622,4411922,4528268,3795320,1367178,5162503,5280836,,,,,,,,,
2018,South East,E12000008,367730,231637,599368,600255,2390198,1161300,3551495,3684994,2757928,1392938,4150863,4285249,,,,,,,,,
2018,South West,E12000009,233174,173549,406723,407739,1340695,721704,2062399,2189323,1573869,895253,2469122,2597062,,,,,,,,,
2018,Wales,W92000004,179855,119938,299793,300117,636883,336458,973342,1061227,816739,456396,1273135,1361344,,,,,,,,,
2018,Scotland,S92000003,355001,224408,579409,579472,1302749,626311,1929059,2032223,1657750,850719,2508468,2611695,,,,,,,,,
2018,England,E92000001,2660473,1573533,4234006,4241642,14997233,6745007,21742242,22599864,17657707,8318540,25976248,26841506,,,,,,,,,
2018,Great Britain,K03000001,3195330,1917879,5113209,5121232,16936865,7707776,24644642,25693314,20132195,9625655,29757851,30814545,,,,,,,,,
2019,City of London,E09000001,13892,2729,16621,16621,439554,68773,508327,525195,453446,71502,524948,541817,,,,,,,,,
2019,Barking and Dagenham,E09000002,6360,3458,9819,9834,32959,13919,46878,47810,39319,17378,56697,57644,,,,,,,,,
2019,Barnet,E09000003,12590,7269,19859,20011,74046,36906,110953,114243,86636,44175,130811,134254,,,,,,,,,
2019,Bexley,E09000004,6981,3913,10894,10924,41869,23790,65659,67187,48850,27703,76553,78110,,,,,,,,,
2019,Brent,E09000005,15376,6004,21380,21403,72005,28887,100892,103253,87381,34891,122272,124656,,,,,,,,,
2019,Bromley,E09000006,8516,6452,14968,15002,58536,33286,91822,94343,67051,39738,106789,109345,,,,,,,,,
2019,Camden,E09000007,35717,10442,46159,46225,251501,73110,324611,335934,287218,83552,370770,382158,,,,,,,,,
2019,Croydon,E09000008,18750,7488,26238,26292,63658,33365,97023,99583,82407,40854,123261,125875,,,,,,,,,
2019,Ealing,E09000009,11060,6336,17396,17407,85029,32266,117295,119691,96089,38602,134691,137098,,,,,,,,,
2019,Enfield,E09000010,11917,8198,20115,20130,56215,28276,84491,86647,68133,36474,104607,106777,,,,,,,,,
2019,Greenwich,E09000011,13073,9145,22218,22230,39651,23744,63395,64792,52724,32889,85613,87022,,,,,,,,,
2019,Hackney,E09000012,13845,4008,17853,17882,83091,29568,112659,115490,96935,33576,130512,133372,,,,,,,,,
2019,Hammersmith and Fulham,E09000013,18415,3318,21733,21829,80973,33859,114832,116629,99388,37177,136565,138458,,,,,,,,,
2019,Haringey,E09000014,7900,3289,11189,11209,35623,19554,55177,57266,43523,22843,66366,68475,,,,,,,,,
2019,Harrow,E09000015,5868,4372,10239,10245,40693,19847,60541,62265,46561,24219,70780,72510,,,,,,,,,
2019,Havering,E09000016,10394,4296,14689,14698,46632,23701,70333,71998,57026,27996,85022,86697,,,,,,,,,
2019,Hillingdon,E09000017,15621,8245,23866,23947,124100,41028,165128,167167,139721,49273,188994,191115,,,,,,,,,
2019,Hounslow,E09000018,12858,4398,17256,17266,107258,38254,145512,147306,120116,42652,162768,164572,,,,,,,,,
2019,Islington,E09000019,15891,4282,20173,20185,169572,44788,214360,219259,185463,49070,234533,239444,,,,,,,,,
2019,Kensington and Chelsea,E09000020,15272,4189,19462,19493,89304,30290,119595,122393,104577,34479,139056,141886,,,,,,,,,
2019,Kingston upon Thames,E09000021,6610,4318,10927,10940,41912,25274,67186,68369,48522,29591,78113,79309,,,,,,,,,
2019,Lambeth,E09000022,29291,8754,38044,38072,79078,33991,113070,115309,108369,42745,151114,153381,,,,,,,,,
2019,Lewisham,E09000023,9721,5807,15527,15546,31395,19151,50547,52002,41116,24958,66074,67548,,,,,,,,,
2019,Merton,E09000024,5608,2484,8092,8104,49418,23029,72447,73822,55026,25513,80539,81926,,,,,,,,,
2019,Newham,E09000025,18678,4298,22976,23025,58016,30718,88735,90170,76694,35016,111711,113195,,,,,,,,,
2019,Redbridge,E09000026,11517,4780,16297,16307,40975,21202,62177,64264,52491,25982,78473,80571,,,,,,,,,
2019,Richmond upon Thames,E09000027,6594,2986,9580,9592,49608,22793,72401,74366,56202,25779,81981,83958,,,,,,,,,
2019,Southwark,E09000028,33191,7035,40226,40318,162080,46529,208609,213483,195270,53564,248834,253800,,,,,,,,,
2019,Sutton,E09000029,8983,5311,14294,14323,36008,20371,56380,57886,44991,25682,70674,72209,,,,,,,,,
2019,Tower Hamlets,E09000030,34793,18190,52983,53008,203807,47909,251717,256161,238600,66100,304700,309169,,,,,,,,,
2019,Waltham Forest,E09000031,12494,4468,16962,16980,38025,17648,55673,57331,50519,22116,72635,74311,,,,,,,,,
2019,Wandsworth,E09000032,18299,7617,25915,25933,63287,30639,93926,96170,81585,38256,119842,122103,,,,,,,,,
2019,Westminster,E09000033,92067,11843,103911,104700,487625,145171,632797,651332,579693,157015,736708,756031,,,,,,,,,
2019,Inner London,E13000001,356971,95802,452772,454045,2234907,654052,2888960,2966792,2591877,749853,3341732,3420838,,,,,,,,,
2019,Outer London,E13000002,201169,103919,305089,305636,1098597,507586,1606184,1642322,1299766,611505,1911272,1947958,,,,,,,,,
2019,North East,E12000001,145336,82400,227736,227980,562121,279317,841438,873391,707456,361717,1069174,1101371,,,,,,,,,
2019,North West,E12000002,386569,228320,614888,617390,1931101,856548,2787650,2880814,2317670,1084868,3402539,3498203,,,,,,,,,
2019,Yorkshire and The Humber,E12000003,274083,173943,448026,448084,1321628,631404,1953032,2044179,1595711,805347,2401058,2492263,,,,,,,,,
2019,East Midlands,E12000004,197358,139754,337112,337614,1215505,536915,1752420,1830545,1412863,676670,2089532,2168159,,,,,,,,,
2019,West Midlands,E12000005,263165,165883,429048,429739,1466548,697744,2164292,2247066,1729713,863627,2593340,2676805,,,,,,,,,
2019,East,E12000006,246108,187338,433447,433992,1584360,767599,2351958,2436689,1830469,954937,2785405,2870681,,,,,,,,,
2019,London,E12000007,558140,199721,757861,759681,3333503,1161638,4495144,4609115,3891643,1361359,5253005,5368796,,,,,,,,,
2019,South East,E12000008,377927,228935,606863,608584,2443948,1164987,3608934,3733357,2821875,1393922,4215797,4341942,,,,,,,,,
2019,South West,E12000009,237311,167197,404508,406168,1364182,728887,2093069,2229601,1601493,896084,2497577,2635769,,,,,,,,,
2019,Wales,W92000004,185966,114504,300470,300601,640843,327305,968148,1031180,826809,441809,1268618,1331781,,,,,,,,,
2019,Scotland,S92000003,356633,224475,581108,581151,1296720,625120,1921841,2020649,1653354,849595,2502948,2601800,,,,,,,,,
2019,England,E92000001,2685997,1573492,4259489,4269232,15222896,6825040,22047937,22884758,17908893,8398532,26307426,27153990,,,,,,,,,
2019,Great Britain,K03000001,3228596,1912470,5141066,5150984,17160460,7777465,24937926,25936586,20389056,9689936,30078992,31087571,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
